127;Angola;4a;51.1;4.2;28.2;0.89;33.2;19082000;6186;129
128;Mauritania;4c;58.6;5.0;35.8;2.86;32.3;3460000;2456;122
129;Burkina Faso;4c;55.4;4.0;29.9;1.53;31.8;16468000;1256;75
130;United Arab Emirates;3b;76.5;7.2;59.9;8.88;31.8;7512000;47213;43
131;Uganda;4b;54.1;4.2;29.8;1.57;31.5;33424000;1272;100
132;Benin;4c;56.1;3.7;28.6;1.36;31.1;8850000;1587;76
133;Tanzania;4b;58.2;3.2;27.7;1.19;30.7;44841000;1434;81
134;Congo. Dem. Rep. of the;4a;48.4;4.0;25.9;0.76;30.5;65965000;347;148
135;Burundi;4b;50.4;3.8;26.2;0.85;30.5;8382000;409;134
136;Trinidad and Tobago;1a;70.1;6.7;52.2;7.56;30.3;1341000;25739;54
137;Guinea;4c;54.1;4.0;29.2;1.72;30.0;9982000;1091;139
138;Luxembourg;2c;80.0;7.1;62.0;10.72;29.0;507000;86124;5
139;Sierra Leone;4c;47.8;4.1;26.1;1.13;28.8;5867000;827;106
140;Macedonia;7b;74.8;4.2;41.1;5.36;28.3;2060000;11162;62
141;Togo;4c;57.1;2.8;25.3;1.03;28.2;6028000;998;120
142;South Africa;4a;52.8;4.7;31.0;2.59;28.2;49991000;10565;48
143;Kuwait;3b;74.6;6.6;54.9;9.72;27.1;2736000;46428;51
144;Niger;4c;54.7;4.1;29.8;2.59;26.8;15512000;728;109
145;Mongolia;7a;68.5;4.6;39.8;5.53;26.8;2756000;4036;70
146;Bahrain;3b;75.1;4.5;43.5;6.65;26.6;1262000;25799;52
147;Mali;4c;51.4;3.8;26.6;1.86;26.0;15370000;1065;90
148;Central African Republic;4a;48.4;3.6;24.3;1.36;25.3;4401000;789;141
149;Qatar;3b;78.4;6.6;57.7;11.68;25.2;1759000;80944;38
150;Chad;4b;49.6;3.7;25.6;1.89;24.7;11227000;1370;143
151;Botswana;4a;53.2;3.6;26.7;2.84;22.6;2007000;13893;39
